patch_name,image_file,label_tag,sentinel1_id,sar_date_from,sar_date_to,sar_center_time,min_lon,min_lat,max_lon,max_lat,s2_id,s2_datetime,s2_cloud,_key,s1_file,s2_file,s1_time,s2_time,dt_hours,s1_exists,s2_exists,obj_ul_lon,obj_ul_lat,obj_ur_lon,obj_ur_lat,obj_br_lon,obj_br_lat,obj_bl_lon,obj_bl_lat
S1_20190104_155638_155818_VV_2,ow-0002.jpg,ow-0002-01-000002,S1A_IW_GRDH_1SDV_20190104T155703_20190104T155728_025330_02CD9D_BBAA.SAFE,2019-01-04 15:56:38+00:00,2019-01-04 15:58:18+00:00,2019-01-04T15:57:28Z,31.9493292743834,31.6193082222708,32.1061270736059,31.7541920338734,S2A_MSIL2A_20190104T083331_N0500_R021_T36RUV_20221216T113221.SAFE,2019-01-04 08:41:31+00:00,0.0,S1_20190104_155638_155818_VV_2||2019-01-04 08:41:31+00:00,dataset_out\sent1\S1_20190104_155638_155818_VV_2__S1__20190104T155638Z.png,dataset_out\sentinel2\S1_20190104_155638_155818_VV_2__S2__20190104T084131Z.png,2019-01-04 15:56:38+00:00,2019-01-04 08:41:31+00:00,-7.251944444444445,True,True,32.0268313998942,31.6795634053252,32.0332886641046,31.6805071871984,32.0310868011572,31.6913258699428,32.0246295369468,31.6903820880696
S1_20190112_035117_035259_VV_0,ow-0007.jpg,ow-0007-01-000014,S1A_IW_GRDH_1SDV_20190112T035232_20190112T035259_025439_02D183_0BB2.SAFE;S1A_IW_GRDH_1SDV_20190112T035207_20190112T035232_025439_02D183_4040.SAFE,2019-01-12 03:51:17+00:00,2019-01-12 03:52:59+00:00,2019-01-12T03:52:08Z,31.1031294647472,31.5960939384411,31.2596696205367,31.7310458042873,S2B_MSIL2A_20190112T084319_N0500_R064_T36SUA_20221220T192512.SAFE,2019-01-12 08:51:18+00:00,1.45,S1_20190112_035117_035259_VV_0||2019-01-12 08:51:18+00:00,dataset_out\sent1\S1_20190112_035117_035259_VV_0__S1__20190112T035117Z.png,dataset_out\sentinel2\S1_20190112_035117_035259_VV_0__S2__20190112T085118Z.png,2019-01-12 03:51:17+00:00,2019-01-12 08:51:18+00:00,5.000277777777778,True,True,31.1833192628743,31.6645838949007,31.1795831418641,31.6651383098961,31.1791017295681,31.6627975109511,31.1828378505782,31.6622430959557
S1_20190122_155641_155735_VV_0,ow-0015.jpg,ow-0015-01-000032,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,2019-01-22 15:56:41+00:00,2019-01-22 15:57:35+00:00,2019-01-22T15:57:08Z,31.1604827589652,32.7200007894267,31.5334956035081,33.0372300491453,S2B_MSIL2A_20190122T084249_N0500_R064_T36SUB_20221203T161337.SAFE,2019-01-22 08:51:04+00:00,3.89,S1_20190122_155641_155735_VV_0||2019-01-22 08:51:04+00:00,dataset_out\sent1\S1_20190122_155641_155735_VV_0__S1__20190122T155641Z.png,dataset_out\sentinel2\S1_20190122_155641_155735_VV_0__S2__20190122T085104Z.png,2019-01-22 15:56:41+00:00,2019-01-22 08:51:04+00:00,-7.093611111111112,True,True,31.2492838009383,32.7319597927025,31.3313890840495,32.7440563744745,31.3222371916299,32.7876617956282,31.2401319085187,32.7755652138562
S1_20190122_155641_155735_VV_2,ow-0016.jpg,ow-0016-01-000034,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,2019-01-22 15:56:41+00:00,2019-01-22 15:57:35+00:00,2019-01-22T15:57:08Z,30.1953890013652,33.5635238473411,30.3610448008414,33.7031398903048,S2B_MSIL2A_20190122T084249_N0500_R064_T35SQT_20221203T161337.SAFE,2019-01-22 08:50:56+00:00,3.23,S1_20190122_155641_155735_VV_2||2019-01-22 08:50:56+00:00,dataset_out\sent1\S1_20190122_155641_155735_VV_2__S1__20190122T155641Z.png,dataset_out\sentinel2\S1_20190122_155641_155735_VV_2__S2__20190122T085056Z.png,2019-01-22 15:56:41+00:00,2019-01-22 08:50:56+00:00,-7.095833333333333,True,True,30.2488429967842,33.6475827193052,30.2592461144022,33.6491654062707,30.2572147230792,33.6583558948618,30.2468116054611,33.6567732078963
S1_20190122_155641_155735_VV_3,ow-0017.jpg,ow-0017-03-000044,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,2019-01-22 15:56:41+00:00,2019-01-22 15:57:35+00:00,2019-01-22T15:57:08Z,29.9518159951448,33.5345568376997,30.1134226543866,33.6708692486275,S2B_MSIL2A_20190122T084249_N0500_R064_T35SQT_20221203T161337.SAFE,2019-01-22 08:50:56+00:00,3.23,S1_20190122_155641_155735_VV_3||2019-01-22 08:50:56+00:00,dataset_out\sent1\S1_20190122_155641_155735_VV_3__S1__20190122T155641Z.png,dataset_out\sentinel2\S1_20190122_155641_155735_VV_3__S2__20190122T085056Z.png,2019-01-22 15:56:41+00:00,2019-01-22 08:50:56+00:00,-7.095833333333333,True,True,30.0017656293654,33.5533816754175,30.0796069116245,33.5654070283963,30.0769803384201,33.5771214267221,29.999139056161,33.5650960737433
S1_20190122_155641_155735_VV_4,ow-0018.jpg,ow-0018-04-000055,S1B_IW_GRDH_1SDV_20190122T155641_20190122T155710_014609_01B38C_DBD6.SAFE,2019-01-22 15:56:41+00:00,2019-01-22 15:57:35+00:00,2019-01-22T15:57:08Z,30.0663059719826,33.6503239961792,30.2279126312244,33.786636407107,S2B_MSIL2A_20190122T084249_N0500_R064_T35SQT_20221203T161337.SAFE,2019-01-22 08:50:56+00:00,3.23,S1_20190122_155641_155735_VV_4||2019-01-22 08:50:56+00:00,dataset_out\sent1\S1_20190122_155641_155735_VV_4__S1__20190122T155641Z.png,dataset_out\sentinel2\S1_20190122_155641_155735_VV_4__S2__20190122T085056Z.png,2019-01-22 15:56:41+00:00,2019-01-22 08:50:56+00:00,-7.095833333333333,True,True,30.1781080941491,33.686908569267,30.1857437512644,33.6880881679243,30.185178027805,33.6906112691022,30.1775423706897,33.6894316704449
S1_20190122_155641_155735_VV_5,ow-0019.jpg,ow-0019-01-000062,S1B_IW_GRDH_1SDV_20190122T155710_20190122T155735_014609_01B38C_4548.SAFE,2019-01-22 15:56:41+00:00,2019-01-22 15:57:35+00:00,2019-01-22T15:57:08Z,30.6053802378315,34.2752850057587,30.7674633950958,34.4105888297008,S2B_MSIL2A_20190122T084249_N0500_R064_T36STC_20221203T161337.SAFE,2019-01-22 08:50:54+00:00,8.55,S1_20190122_155641_155735_VV_5||2019-01-22 08:50:54+00:00,dataset_out\sent1\S1_20190122_155641_155735_VV_5__S1__20190122T155641Z.png,dataset_out\sentinel2\S1_20190122_155641_155735_VV_5__S2__20190122T085054Z.png,2019-01-22 15:56:41+00:00,2019-01-22 08:50:54+00:00,-7.096388888888889,True,True,30.66073074944,34.3267395436965,30.7183956272836,34.3351520219335,30.7131847213654,34.3592906575295,30.6555198435218,34.3508781792925
S1_20190122_155641_155735_VV_6,ow-0020.jpg,ow-0020-01-000063,S1B_IW_GRDH_1SDV_20190122T155710_20190122T155735_014609_01B38C_4548.SAFE,2019-01-22 15:56:41+00:00,2019-01-22 15:57:35+00:00,2019-01-22T15:57:08Z,30.7436871856861,34.2973201266583,30.9057703429504,34.4326239506005,S2B_MSIL2A_20190122T084249_N0500_R064_T36STC_20221203T161337.SAFE,2019-01-22 08:50:54+00:00,8.55,S1_20190122_155641_155735_VV_6||2019-01-22 08:50:54+00:00,dataset_out\sent1\S1_20190122_155641_155735_VV_6__S1__20190122T155641Z.png,dataset_out\sentinel2\S1_20190122_155641_155735_VV_6__S2__20190122T085054Z.png,2019-01-22 15:56:41+00:00,2019-01-22 08:50:54+00:00,-7.096388888888889,True,True,30.8192120770618,34.3608226138947,30.8295017206919,34.362323725253,30.8274795780968,34.3716909569769,30.8171899344667,34.3701898456186
S1_20190129_154746_154926_VV_0,ow-0028.jpg,ow-0028-01-000080,S1B_IW_GRDH_1SDV_20190129T154811_20190129T154836_014711_01B6D1_C6CA.SAFE,2019-01-29 15:47:46+00:00,2019-01-29 15:49:26+00:00,2019-01-29T15:48:36Z,32.3565767892852,31.3165288071637,32.5141162273121,31.4530319412504,S2B_MSIL2A_20190129T083209_N0500_R021_T36RVV_20230622T041549.SAFE,2019-01-29 08:41:32+00:00,0.03,S1_20190129_154746_154926_VV_0||2019-01-29 08:41:32+00:00,dataset_out\sent1\S1_20190129_154746_154926_VV_0__S1__20190129T154746Z.png,dataset_out\sentinel2\S1_20190129_154746_154926_VV_0__S2__20190129T084132Z.png,2019-01-29 15:47:46+00:00,2019-01-29 08:41:32+00:00,-7.103888888888889,True,True,32.4315798539778,31.3824956532288,32.440656071819,31.3839562358493,32.4398585179449,31.3875580575984,32.4307823001037,31.386097474978
S1_20190129_154746_154926_VV_1,ow-0029.jpg,ow-0029-01-000081,S1B_IW_GRDH_1SDV_20190129T154811_20190129T154836_014711_01B6D1_C6CA.SAFE,2019-01-29 15:47:46+00:00,2019-01-29 15:49:26+00:00,2019-01-29T15:48:36Z,32.0726413352443,31.7668522578013,32.2311896176961,31.9034659945072,S2B_MSIL2A_20190129T083209_N0500_R021_T36SVA_20230622T041549.SAFE,2019-01-29 08:41:20+00:00,2.87,S1_20190129_154746_154926_VV_1||2019-01-29 08:41:20+00:00,dataset_out\sent1\S1_20190129_154746_154926_VV_1__S1__20190129T154746Z.png,dataset_out\sentinel2\S1_20190129_154746_154926_VV_1__S2__20190129T084120Z.png,2019-01-29 15:47:46+00:00,2019-01-29 08:41:20+00:00,-7.107222222222222,True,True,32.1508664851999,31.8273415772479,32.1577145905756,31.8284426795281,32.154980083006,31.8406889510212,32.1481319776303,31.839587848741
