min_lon,min_lat,max_lon,max_lat,date_from,date_to,sentinel_id,patch_name,image_file,label_tag,obj_ul_lon,obj_ul_lat,obj_ur_lon,obj_ur_lat,obj_br_lon,obj_br_lat,obj_bl_lon,obj_bl_lat
32.9864942079466,33.1911262404391,33.1445256369044,33.3252260245976,2019-01-01T03:42:35,2019-01-01T03:43:50,S1B_IW_GRDH_1SDV_20190101T034300_20190101T034325_014295_01A97E_39B8.SAFE,S1_20190101_034235_034350_VV_1,ow-0001.jpg,ow-0001-01-000001,33.0610206397016,33.2630544636042,33.0561482156256,33.2637343446692,33.0545345548213,33.2554556848129,33.0594069788973,33.2547758037478
31.9493292743834,31.6193082222708,32.1061270736059,31.7541920338734,2019-01-04T15:56:38,2019-01-04T15:58:18,S1A_IW_GRDH_1SDV_20190104T155703_20190104T155728_025330_02CD9D_BBAA.SAFE,S1_20190104_155638_155818_VV_2,ow-0002.jpg,ow-0002-01-000002,32.0268313998942,31.6795634053252,32.0332886641046,31.6805071871984,32.0310868011572,31.6913258699428,32.0246295369468,31.6903820880696
30.548837114871,31.5053938536421,30.7054993910461,31.6408370473951,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,S1_20190110_155611_155635_VV_9,ow-0003.jpg,ow-0003-01-000003,30.6228382528445,31.5704039176983,30.6325460102073,31.5719063624983,30.6317048011017,31.5758589502495,30.6219970437389,31.5743565054496
31.1040245801811,31.6449358671299,31.2613574726679,31.7801461134815,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,S1_20190110_155611_155635_VV_10,ow-0004.jpg,ow-0004-01-000004,31.1893665354878,31.7083686517295,31.1920680002660,31.7087806594771,31.1913454746961,31.7121925484960,31.1886440099179,31.7117805407484
32.0683424751274,31.8561807085142,32.2250047513025,31.9916239022673,2019-01-10T15:56:11,2019-01-10T15:56:35,S1B_IW_GRDH_1SDV_20190110T155611_20190110T155635_014434_01ADED_1E1A.SAFE,S1_20190110_155611_155635_VV_11,ow-0005.jpg,ow-0005-01-000007,32.1523494090373,31.9182854027281,32.1595785900522,31.9194042446004,32.1586609073915,31.9237161585108,32.1514317263767,31.9225973166385
32.3916050287003,32.3066615420264,32.5508188681694,32.4429257297326,2019-01-11T15:48:36,2019-01-11T15:50:16,S1A_IW_GRDH_1SDV_20190111T154901_20190111T154926_025432_02D14A_4A63.SAFE,S1_20190111_154836_155016_VV_6,ow-0006.jpg,ow-0006-01-000010,32.4627066352373,32.3956233252584,32.4959211214009,32.4008539993505,32.4916943200146,32.4199356393779,32.4584798338510,32.4147049652859
31.1031294647472,31.5960939384411,31.2596696205367,31.7310458042873,2019-01-12T03:51:17,2019-01-12T03:52:59,S1A_IW_GRDH_1SDV_20190112T035232_20190112T035259_025439_02D183_0BB2.SAFE;S1A_IW_GRDH_1SDV_20190112T035207_20190112T035232_025439_02D183_4040.SAFE,S1_20190112_035117_035259_VV_0,ow-0007.jpg,ow-0007-01-000014,31.1833192628743,31.6645838949007,31.1795831418641,31.6651383098961,31.1791017295681,31.6627975109511,31.1828378505782,31.6622430959557
35.183700571344,34.007546490362,35.3444096013791,34.1424457731161,2019-01-12T15:39:43,2019-01-12T15:40:58,S1B_IW_GRDH_1SDV_20190112T154033_20190112T154058_014463_01AEE6_B38F.SAFE,S1_20190112_153943_154058_VV_2,ow-0008.jpg,ow-0008-01-000015,35.2543293171142,34.0607923471828,35.2805294905032,34.0645946614539,35.2750433324691,34.0904955101953,35.2488431590801,34.0866931959242
34.807722998774,34.538323438725,34.9709927385402,34.6740268847044,2019-01-19T03:42:58,2019-01-19T03:44:38,S1A_IW_GRDH_1SDV_20190119T034323_20190119T034348_025541_02D53C_8F34.SAFE,S1_20190119_034258_034438_VV_0,ow-0009.jpg,ow-0009-01-000016,34.9059587664883,34.6379328267923,34.8855174936274,34.6409699289330,34.8724978115411,34.5822680419043,34.8929390844020,34.5792309397636
33.2686474997839,34.0474817966563,33.4284983110163,34.1816273867233,2019-01-19T03:42:58,2019-01-19T03:44:38,S1A_IW_GRDH_1SDV_20190119T034323_20190119T034348_025541_02D53C_8F34.SAFE,S1_20190119_034258_034438_VV_3,ow-0010.jpg,ow-0010-01-000017,33.3774945450553,34.1499402538878,33.2933709499594,34.1616632297323,33.2764816934914,34.0790780840717,33.3606052885872,34.0673551082272
